material_id,material_name,material_type
751,Ut - 45104633,Insumo Químico
752,Modi - 81579815,Insumo Químico
753,Ea - 38780035,Fertilizante
754,Quia - 45762055,Embalagem
755,Vitae - 55438407,Embalagem
756,Sunt - 46084323,Embalagem
757,Laboriosam - 62168939,Catalisador
758,Nesciunt - 39264954,Aditivo
759,Occaecati - 82329839,Catalisador
760,Deserunt - 48262927,Aditivo
761,Ipsum - 18812527,Embalagem
762,Aliquam - 56647426,Embalagem
763,Eaque - 12209941,Catalisador
764,Sequi - 99393304,Catalisador
765,Magnam - 17289757,Aditivo
766,Ea - 67722334,Insumo Químico
767,Aliquid - 60463333,Aditivo
768,At - 27975732,Catalisador
769,Nobis - 60965691,Catalisador
770,Rem - 98808175,Fertilizante
771,Odit - 03886083,Catalisador
772,Molestias - 80347644,Fertilizante
773,Illo - 72649084,Insumo Químico
774,Dicta - 77181299,Aditivo
775,Voluptatem - 82665708,Aditivo
776,Dolorum - 79371452,Fertilizante
777,Voluptate - 21117510,Aditivo
778,Qui - 68926861,Catalisador
779,Aperiam - 25922226,Embalagem
780,Asperiores - 64474212,Fertilizante
781,Delectus - 30940772,Aditivo
782,Praesentium - 80973393,Fertilizante
783,Unde - 77671998,Fertilizante
784,Ab - 38498305,Embalagem
785,Ea - 20502096,Catalisador
786,Sed - 45101625,Fertilizante
787,Dolorem - 49998276,Aditivo
788,Repellendus - 50145560,Insumo Químico
789,Atque - 68147211,Fertilizante
790,Voluptate - 45868337,Fertilizante
791,Similique - 01981797,Embalagem
792,Voluptatibus - 46954893,Catalisador
793,Soluta - 52997877,Insumo Químico
794,Possimus - 29343010,Aditivo
795,Alias - 71396606,Insumo Químico
796,Iusto - 58303443,Aditivo
797,Atque - 44885014,Catalisador
798,Vitae - 55699020,Aditivo
799,Earum - 55770279,Embalagem
800,Dolor - 78576087,Embalagem
801,In - 95880396,Embalagem
802,Vitae - 55124058,Embalagem
803,Minus - 82996291,Insumo Químico
804,Cum - 45046179,Catalisador
805,Ex - 57438429,Aditivo
806,Culpa - 50317806,Aditivo
807,Perspiciatis - 82357849,Embalagem
808,Itaque - 21823077,Embalagem
809,Molestias - 81040919,Fertilizante
810,Iusto - 70184099,Catalisador
811,Ipsa - 35334484,Insumo Químico
812,Ipsum - 71422411,Aditivo
813,Accusantium - 98813858,Fertilizante
814,Quo - 54249325,Fertilizante
815,Aut - 49587029,Aditivo
816,Aliquam - 70160161,Insumo Químico
817,Mollitia - 29979547,Fertilizante
818,Iusto - 38179211,Fertilizante
819,Voluptatem - 71747736,Catalisador
820,Et - 29456253,Insumo Químico
821,Itaque - 77017154,Fertilizante
822,Perferendis - 72459928,Insumo Químico
823,Quaerat - 16158146,Aditivo
824,Quibusdam - 76963933,Embalagem
825,Quo - 27615393,Fertilizante
826,Non - 69583216,Catalisador
827,Rem - 71997582,Aditivo
828,Consequatur - 72461914,Insumo Químico
829,Vitae - 96570135,Aditivo
830,Deserunt - 90227844,Fertilizante
831,Molestias - 99733544,Insumo Químico
832,Reiciendis - 46519092,Embalagem
833,Quaerat - 62405805,Aditivo
834,A - 85140363,Fertilizante
835,Voluptates - 96566664,Catalisador
836,Quisquam - 32723861,Insumo Químico
837,Magni - 62422017,Aditivo
838,Tenetur - 02762128,Aditivo
839,Temporibus - 67969272,Embalagem
840,Quaerat - 68765323,Embalagem
841,Nisi - 90973840,Catalisador
842,Neque - 89500972,Catalisador
843,Voluptatibus - 51971281,Fertilizante
844,Hic - 78189133,Fertilizante
845,Optio - 18949056,Catalisador
846,Quibusdam - 07787959,Catalisador
847,Nihil - 54420946,Insumo Químico
848,Recusandae - 40792903,Embalagem
849,Unde - 49047127,Fertilizante
850,Quae - 14429446,Embalagem
851,Facere - 01929270,Embalagem
852,Maxime - 24372800,Catalisador
853,Laboriosam - 12927661,Insumo Químico
854,Ex - 72395042,Aditivo
855,Cum - 02767475,Insumo Químico
856,Quibusdam - 36674282,Insumo Químico
857,Nostrum - 04765806,Embalagem
858,Consequatur - 85694545,Insumo Químico
859,Fugiat - 14967399,Fertilizante
860,Earum - 85258006,Embalagem
861,Atque - 06181758,Fertilizante
862,Est - 44300913,Aditivo
863,Aspernatur - 93911191,Embalagem
864,Delectus - 69212444,Aditivo
865,Omnis - 17465427,Embalagem
866,Aut - 40665047,Catalisador
867,Fuga - 27173961,Insumo Químico
868,Dolorum - 71286396,Catalisador
869,Temporibus - 17410113,Aditivo
870,Rem - 47072008,Insumo Químico
871,Vel - 64256900,Embalagem
872,Quam - 77661838,Insumo Químico
873,A - 67198559,Fertilizante
874,Vero - 46015853,Insumo Químico
875,Beatae - 74328062,Fertilizante
876,Ut - 34615713,Insumo Químico
877,Suscipit - 73203094,Fertilizante
878,Excepturi - 76184789,Aditivo
879,Odio - 00505062,Catalisador
880,Cumque - 38782930,Embalagem
881,Aut - 02707907,Insumo Químico
882,Exercitationem - 20204174,Catalisador
883,Similique - 29111794,Embalagem
884,Sint - 31365659,Embalagem
885,Cumque - 98253098,Fertilizante
886,Doloribus - 51142629,Aditivo
887,Voluptatem - 58273906,Aditivo
888,Deleniti - 19620718,Catalisador
889,Ab - 02194677,Aditivo
890,Voluptate - 23248762,Insumo Químico
891,Excepturi - 29092796,Aditivo
892,Commodi - 45608339,Catalisador
893,Cumque - 81958832,Aditivo
894,Officiis - 34031278,Insumo Químico
895,Praesentium - 22005434,Fertilizante
896,Nostrum - 45970108,Catalisador
897,Quidem - 22078117,Fertilizante
898,Ex - 79956352,Fertilizante
899,Eum - 15313638,Fertilizante
900,Minus - 31797061,Embalagem
901,Dignissimos - 39726520,Embalagem
902,Officia - 35435204,Fertilizante
903,Voluptate - 90421778,Catalisador
904,Nihil - 25349290,Insumo Químico
905,Dolores - 98316878,Insumo Químico
906,Esse - 97740636,Aditivo
907,Expedita - 56939293,Catalisador
908,Ab - 60078063,Embalagem
909,Quia - 67177318,Fertilizante
910,Quos - 06325435,Aditivo
911,Tenetur - 10742792,Insumo Químico
912,Reprehenderit - 07726255,Embalagem
913,Sunt - 70165807,Embalagem
914,Impedit - 64989310,Fertilizante
915,Sit - 50850167,Insumo Químico
916,Maiores - 79055284,Catalisador
917,Voluptatibus - 18325386,Embalagem
918,Cum - 79335546,Fertilizante
919,Provident - 64015576,Catalisador
920,Placeat - 88178844,Insumo Químico
921,Odio - 95137117,Embalagem
922,Mollitia - 24112413,Catalisador
923,Voluptatem - 27238042,Catalisador
924,Nesciunt - 82756703,Catalisador
925,Illum - 31038560,Embalagem
926,Repellendus - 55798877,Embalagem
927,Officia - 49242430,Aditivo
928,Perspiciatis - 54025479,Insumo Químico
929,Doloremque - 92842229,Fertilizante
930,Dolorem - 31059275,Catalisador
931,Facilis - 52380556,Aditivo
932,Dignissimos - 57828411,Fertilizante
933,Alias - 67275205,Aditivo
934,Quisquam - 85474925,Embalagem
935,Recusandae - 75170288,Catalisador
936,Cum - 40693750,Fertilizante
937,Consectetur - 50939831,Fertilizante
938,Hic - 30187184,Fertilizante
939,Mollitia - 37599805,Fertilizante
940,Vel - 56265651,Fertilizante
941,Accusantium - 45547812,Aditivo
942,Esse - 76742668,Catalisador
943,Deserunt - 99123475,Embalagem
944,Qui - 51961060,Embalagem
945,Tempore - 46287922,Embalagem
946,Eligendi - 26487045,Embalagem
947,Reprehenderit - 47873001,Aditivo
948,Dolor - 44714628,Insumo Químico
949,Porro - 30147195,Catalisador
950,Magni - 97964711,Fertilizante
951,Minima - 89042908,Insumo Químico
952,Dignissimos - 57252049,Embalagem
953,Magni - 65044810,Insumo Químico
954,Quam - 32192858,Catalisador
955,Ipsam - 44518950,Fertilizante
956,Dicta - 02845760,Fertilizante
957,Laboriosam - 21328336,Catalisador
958,Ratione - 98881673,Catalisador
959,Autem - 12075454,Embalagem
960,Deserunt - 79852401,Fertilizante
961,Cumque - 32234237,Insumo Químico
962,Delectus - 16110762,Aditivo
963,Animi - 31089074,Aditivo
964,Cumque - 40140117,Catalisador
965,Sed - 39325013,Embalagem
966,Dignissimos - 49552898,Aditivo
967,Excepturi - 89119082,Fertilizante
968,Esse - 34280133,Catalisador
969,Quae - 75927127,Insumo Químico
970,Libero - 66383611,Catalisador
971,Ipsam - 17182751,Insumo Químico
972,Voluptatibus - 48015714,Catalisador
973,Molestiae - 47947382,Catalisador
974,Nemo - 46317520,Catalisador
975,Accusantium - 71678115,Insumo Químico
976,Dicta - 66912156,Insumo Químico
977,Eius - 53961365,Catalisador
978,Praesentium - 49946574,Aditivo
979,Vel - 96784273,Embalagem
980,Corrupti - 14773204,Embalagem
981,Consequuntur - 01702699,Embalagem
982,Veritatis - 52499111,Insumo Químico
983,Ut - 87734775,Insumo Químico
984,Quae - 48588003,Aditivo
985,Non - 16756779,Embalagem
986,Amet - 02842769,Embalagem
987,Deleniti - 46719782,Catalisador
988,Vitae - 89778289,Insumo Químico
989,Aspernatur - 64796956,Embalagem
990,Id - 50090259,Aditivo
991,Laudantium - 90561658,Aditivo
992,Magnam - 65033340,Embalagem
993,Rerum - 11415206,Insumo Químico
994,Quidem - 50769865,Aditivo
995,Fugiat - 07905698,Catalisador
996,Molestias - 59171355,Aditivo
997,Praesentium - 85294561,Fertilizante
998,Eligendi - 71834405,Fertilizante
999,In - 96391914,Insumo Químico
1000,Rerum - 54198760,Embalagem
